what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287209448
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287209474
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287218023
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287218121
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287220494
error,log,,,"Failed to load properties file for project 'UTScheduleActivity'",1315287245868
error,log,,,"Failed to load properties file for project 'UTScheduleActivity'",1315287246442
started,bundle,org.eclipse.jgit,0.12.1,"org.eclipse.jgit",1315287247249
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1315287249313
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1315287250764
started,bundle,org.eclipse.egit.core,0.12.1,"org.eclipse.egit.core",1315287250939
started,bundle,org.eclipse.egit.ui,0.12.1,"org.eclipse.egit.ui",1315287253221
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1315287257378
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1315287259521
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1315287259908
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1315287261861
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287262654
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287315377
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287315386
opened,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287315501
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1315287315501
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287326435
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287326514
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1315287334165
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287336517
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287387626
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287392934
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287398289
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1315287398298
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1315287398298
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287399838
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287405224
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287407518
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287419471
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287422876
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287458099
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1315287458107
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287462515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287469593
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1315287474567
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1315287476356
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1315287476524
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1315287476666
stopped,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1315287476666
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1315287476748
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1315287476836
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1315287476982
stopped,bundle,com.cloudgarden.jigloo,4.6.4,"com.cloudgarden.jigloo",1315287476982
